Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
2019-08-19,2024-08-16,0.0619099731445312,-6.921721700692493,0.3073929479452703,0.4382965652577409,0.1103906540291121,-0.112315767614235,1149 days 00:00:00,50,52.0,19.50206963152001,-13.549794088120182,1.5762369771105345,34 days 00:00:00,9 days 00:00:00,1.49855465298296,2.1828343597837376,0.6588503410759848,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,0.0690299682617187,-6.921721700692493,0.2285757785611929,0.3201002524361187,0.0750281206050035,-0.1842526186494386,1008 days 00:00:00,50,60.0,23.60808644590071,-18.3207458151666,1.9931715400111072,48 days 00:00:00,16 days 00:00:00,1.6229297430109308,2.8406290380752504,0.6319635804064724,"EMA_diff(tp=10,n=10,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.1242899703979492,-6.921721700692493,0.0,0.0,0.0,-0.2027176072886161,1149 days 00:00:00,79,39.24050632911392,16.778725028005304,-20.409511773562706,-1.5010097413179602,48 days 00:00:00,13 days 00:00:00,0.834257550960226,-0.93328434714868,-1.1038520352611263,"EMA_diff(tp=10,n=20,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.1485500183105468,-6.921721700692493,0.0,0.0,0.0,-0.3156964612141211,1008 days 00:00:00,79,50.63291139240506,23.44734792481216,-22.25811145435233,-1.7812385155275168,72 days 00:00:00,19 days 00:00:00,0.8724337097371047,-0.8606341684339109,-1.0317809498514563,"EMA_diff(tp=10,n=20,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.3864599990844726,-6.921721700692493,0.0,0.0,0.0,-0.4702721671786314,1157 days 00:00:00,107,31.77570093457944,18.19348198742492,-20.409511773562706,-2.9548021128656177,51 days 00:00:00,16 days 00:00:00,0.5983647692032003,-2.46745336242496,-3.3631760979779304,"EMA_diff(tp=10,n=30,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.4764000740051269,-6.921721700692493,0.0,0.0,0.0,-0.6336322172374342,1157 days 00:00:00,107,42.99065420560748,23.44734792481216,-22.25811145435233,-3.786661222261312,91 days 00:00:00,25 days 00:00:00,0.616865437612666,-2.961834572878859,-3.019633594748796,"EMA_diff(tp=10,n=30,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,0.0780899391174316,-6.921721700692493,0.2633698185447585,0.3776320943276856,0.0794125249431191,-0.1969202685096038,1008 days 00:00:00,50,38.0,25.035322868479938,-17.73167768795799,0.9210451626881831,99 days 00:00:00,19 days 00:00:00,1.3364721690579693,1.9782644562987728,0.6177098911839829,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,0.1136099395751953,-6.921721700692493,0.2731465808486114,0.3883586966402499,0.0790300937595194,-0.2878369464258123,1008 days 00:00:00,50,52.0,33.075686667024584,-18.3207458151666,1.8154999775224607,169 days 00:00:00,31 days 00:00:00,1.4927665499351768,3.294255614095648,0.7621475474190033,"EMA_diff(tp=20,n=10,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.1306100006103515,-6.921721700692493,0.0,0.0,0.0,-0.3524917704960661,1008 days 00:00:00,79,27.848101265822784,33.071375806626094,-20.409511773562706,-1.770124315221977,98 days 00:00:00,22 days 00:00:00,0.8727897529192473,-0.8529264317189243,-0.8938456154879405,"EMA_diff(tp=20,n=20,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.178710033416748,-6.921721700692493,0.0,0.0,0.0,-0.4997410966179672,1008 days 00:00:00,79,39.24050632911392,33.071375806626094,-22.25811145435233,-2.667948408210219,169 days 00:00:00,37 days 00:00:00,0.8588351763943735,-1.2386829832931685,-0.954674321406446,"EMA_diff(tp=20,n=20,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.2986200103759766,-6.921721700692493,0.0,0.0,0.0,-0.4532626541585927,1165 days 00:00:00,107,26.16822429906541,33.15858053766982,-20.409511773562706,-2.1673480569398773,77 days 00:00:00,22 days 00:00:00,0.8167669608513906,-1.2525492557882345,-1.9637572938423096,"EMA_diff(tp=20,n=30,sl=7,duration=180,size=100)"
