Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
2019-06-27,2024-06-27,0.2010780181884765,245.00245719746263,0.3039515240543414,0.4165234763415668,0.1260670160680702,-0.3189987454133014,952 days,39,58.97435897435898,12.770445152570751,-13.187546895333258,1.8377876371096449,151 days,53 days,1.694452813528541,2.2548508502558096,1.308168248886619,"MAX30d(tp=10,n=0,sl=7,duration=180,size=100)"
2019-06-27,2024-06-27,0.4500320129394531,245.00245719746263,0.4302444976552677,0.6027577229151948,0.2412771855155179,-0.3726676833704423,952 days 00:00:00,39,53.84615384615385,22.2837152463903,-13.187546895333258,4.244705912728652,175 days 00:00:00,89 days 00:00:00,2.477761427214251,5.008431873516464,2.219630669979648,"MAX30d(tp=20,n=0,sl=7,duration=180,size=100)"
2019-06-27,2024-06-27,0.4965430450439453,245.00245719746263,0.3981443946667848,0.5467607999136018,0.2553765823599874,-0.388409585122873,1030 days 00:00:00,39,53.84615384615385,31.50795480581865,-13.187546895333258,4.743826339152357,181 days 00:00:00,105 days 00:00:00,2.69885975885506,5.588694209539854,2.3726467531642923,"MAX30d(tp=30,n=0,sl=7,duration=180,size=100)"
2019-06-27,2024-06-27,0.2989640350341797,245.00245719746263,0.537669466098354,0.8036988987954392,0.2788588310028239,-0.2143338296657582,952 days 00:00:00,26,73.07692307692307,12.770445152570751,-13.132687854029312,4.370694596547753,155 days 00:00:00,59 days 00:00:00,3.1650114194913,4.732305885681252,2.468524556192208,"MAX52w(tp=10,n=0,sl=7,duration=180,size=100)"
2019-06-27,2024-06-27,0.4968070526123047,245.00245719746263,0.5447410308614996,0.8067995312377979,0.3085434464502071,-0.3216511256652676,952 days 00:00:00,26,65.38461538461539,21.67537631893573,-13.132687854029312,7.266296690407148,176 days 00:00:00,100 days 00:00:00,4.105177955109987,8.01404789665536,2.947776223133329,"MAX52w(tp=20,n=0,sl=7,duration=180,size=100)"
2019-06-27,2024-06-27,0.5427000732421875,245.00245719746263,0.4983893554553038,0.7163122002340715,0.3162527599410881,-0.3427360812576108,1030 days 00:00:00,26,65.38461538461539,30.32276600145673,-13.132687854029312,8.01681437121411,180 days 00:00:00,118 days 00:00:00,4.444089748723258,8.888733787777474,3.060978174414949,"MAX52w(tp=30,n=0,sl=7,duration=180,size=100)"
2019-08-05,2024-08-05,0.2462039260864257,184.2866448297613,0.4439007323434752,0.6433082054182735,0.2101559015793245,-0.2342615431967565,674 days 00:00:00,54,51.85185185185185,16.763989867243033,-10.24252644207928,1.6352387041840055,87 days 00:00:00,28 days 00:00:00,1.5871891278870929,2.085732362097986,1.5966087124188584,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
2019-08-05,2024-08-05,0.2658048934936523,184.2866448297613,0.2561188827600416,0.3698673881276675,0.0895181130717139,-0.5936981489377491,753 days 00:00:00,54,35.18518518518518,29.911653523654905,-14.249650548990113,1.6951005050784618,176 days 00:00:00,57 days 00:00:00,1.5291400275594436,2.676023944154349,1.1265762335866978,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
2019-08-05,2024-08-05,0.5147159347534179,184.2866448297613,0.4349627713546517,0.6420660784128847,0.1732855513494409,-0.5933185559784393,728 days 00:00:00,54,37.03703703703704,46.08306236357231,-18.38814327682372,3.35202878308265,181 days 00:00:00,73 days 00:00:00,1.927526788267851,4.865983529651677,1.7715343728630737,"EMA_diff(tp=30,n=10,sl=7,duration=180,size=100)"
2019-08-05,2024-08-05,-0.0553829803466796,184.2866448297613,0.0,0.0,0.0,-0.1082219851686439,824 days 00:00:00,12,33.33333333333333,12.228075054936197,-11.634149467694757,-2.156601977801287,112 days 00:00:00,27 days 00:00:00,0.6606250475143277,-1.7752725684392012,-0.9774309544006649,"RSI(tp=10,n=10,sl=7,duration=180,size=100)"
2019-08-05,2024-08-05,-0.045943992614746,184.2866448297613,0.0,0.0,0.0,-0.1498085540643123,824 days 00:00:00,12,25.0,23.356998375587047,-11.634149467694757,-1.4651902451025325,118 days 00:00:00,43 days 00:00:00,0.8901549680115647,-0.6758559831642242,-0.5701465810195527,"RSI(tp=20,n=10,sl=7,duration=180,size=100)"
2019-08-05,2024-08-05,-0.0181589889526367,184.2866448297613,0.0,0.0,0.0,-0.1497934803094569,824 days 00:00:00,12,25.0,33.466916169600026,-11.634149467694757,-0.2259478988724472,181 days 00:00:00,64 days 00:00:00,1.148176028661356,0.9116994525781972,-0.1892313175961169,"RSI(tp=30,n=10,sl=7,duration=180,size=100)"
2019-08-05,2024-08-05,0.1027040252685546,184.2866448297613,0.3973107659712925,0.6352581002881056,0.1805569679169642,-0.1138071941683471,952 days 00:00:00,20,60.0,19.277222819700143,-8.210707348711166,4.163724460856222,92 days 00:00:00,25 days 00:00:00,2.7833542462224257,4.59876669662531,1.1662414649349877,"VR(tp=10,n=10,sl=7,duration=180,size=100)"
2019-08-05,2024-08-05,0.2785450286865234,184.2866448297613,0.7474887305402727,1.20064656477684,0.4899555833212095,-0.1136659178925469,653 days 00:00:00,20,65.0,25.64758183595426,-8.210707348711166,9.173135422919644,97 days 00:00:00,41 days 00:00:00,5.510585739186823,9.969993135685796,2.55409719102001,"VR(tp=20,n=10,sl=7,duration=180,size=100)"
2019-08-05,2024-08-05,0.4425780029296874,184.2866448297613,0.8351767995986142,1.3555643248957392,0.7789905167711317,-0.1135181063686041,576 days 00:00:00,20,65.0,32.391526228907395,-8.210707348711166,13.66953882795412,162 days 00:00:00,81 days 00:00:00,7.806474515731988,15.044721045985993,3.1129174619250035,"VR(tp=30,n=10,sl=7,duration=180,size=100)"
