Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
2019-07-15,2024-07-15,-0.0721199340820312,-40.03254147753332,0.0,0.0,0.0,-0.2420992058167814,1168 days 00:00:00,46,43.47826086956522,17.828034617631626,-14.896661344696184,-0.6321001164715123,84 days 00:00:00,27 days 00:00:00,0.9868826785402736,-0.0670575833836839,-0.3473681296674828,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
2019-07-15,2024-07-15,0.0580000457763671,-40.03254147753332,0.0700726067361671,0.0987968507912357,0.0357289746393237,-0.3248492594946972,1168 days 00:00:00,46,56.52173913043478,22.393706807881863,-18.774320773350738,0.3551439927059752,138 days 00:00:00,43 days 00:00:00,1.2239797260911172,1.172622931635497,0.2292500920632063,"EMA_diff(tp=10,n=10,sl=12,duration=180,size=100)"
2019-07-15,2024-07-15,-0.583159927368164,-40.03254147753332,0.0,0.0,0.0,-0.8286636718538909,1594 days 00:00:00,77,35.064935064935064,17.757985510947737,-17.433927381332914,-2.692577111305039,87 days 00:00:00,31 days 00:00:00,0.6394176186966045,-2.17216314087007,-2.337859043798565,"EMA_diff(tp=10,n=20,sl=7,duration=180,size=100)"
2019-07-15,2024-07-15,-0.4752198638916015,-40.03254147753332,0.0,0.0,0.0,-0.9704917007205438,1173 days 00:00:00,77,48.05194805194805,25.103609821430894,-18.774320773350738,-2.5959462319747773,132 days 00:00:00,46 days 00:00:00,0.7564100744395315,-1.730738813940807,-1.426747495598497,"EMA_diff(tp=10,n=20,sl=12,duration=180,size=100)"
2019-07-15,2024-07-15,-0.4633798980712891,-40.03254147753332,0.0,0.0,0.0,-0.9965544950759742,1375 days 00:00:00,104,41.34615384615385,18.21697519327996,-17.433927381332914,-1.4098363974168415,90 days 00:00:00,33 days 00:00:00,0.8380500447098398,-0.878021178026667,-1.508759883499852,"EMA_diff(tp=10,n=30,sl=7,duration=180,size=100)"
2019-07-15,2024-07-15,-0.3012997589111328,-40.03254147753332,0.0,0.0,0.0,-1.3742793982094326,1173 days 00:00:00,104,53.84615384615385,25.103609821430894,-19.146236033723163,-1.1843656806901692,125 days 00:00:00,45 days 00:00:00,0.9523011000416064,-0.3045640777412373,-0.7507686221274208,"EMA_diff(tp=10,n=30,sl=12,duration=180,size=100)"
2019-07-15,2024-07-15,0.1567199401855468,-40.03254147753332,0.2021588059966415,0.2906798137397351,0.0987813651866288,-0.3173598762093221,809 days 00:00:00,46,36.95652173913043,26.575755105685506,-14.896661344696184,0.7680828540356011,153 days 00:00:00,42 days 00:00:00,1.3109099092411776,1.7798411018313431,0.5640376840799435,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
2019-07-15,2024-07-15,0.2270199737548828,-40.03254147753332,0.1944149224721852,0.2742310616864431,0.0872868151568489,-0.5201113054339235,1173 days 00:00:00,46,50.0,31.59738180506806,-18.774320773350738,1.362652545962062,168 days 00:00:00,68 days 00:00:00,1.4189148268495395,2.627820267388735,0.7434809183547797,"EMA_diff(tp=20,n=10,sl=12,duration=180,size=100)"
2019-07-15,2024-07-15,-0.124199966430664,-40.03254147753332,0.0,0.0,0.0,-0.6882648437287919,1173 days 00:00:00,77,32.467532467532465,28.85413082483388,-17.433927381332914,-0.8655634913212751,153 days 00:00:00,48 days 00:00:00,1.0073615049347742,0.0453873133580255,-0.374151617344571,"EMA_diff(tp=20,n=20,sl=7,duration=180,size=100)"
2019-07-15,2024-07-15,0.00010009765625,-40.03254147753332,5.028659648518178e-05,7.242555187696111e-05,1.7719289284058335e-05,-1.1307126712556514,1173 days 00:00:00,77,42.85714285714285,31.060924574832384,-18.774320773350738,-0.741933108230064,181 days 00:00:00,71 days 00:00:00,1.0828170262957388,0.6334596155009751,0.0002395849947977,"EMA_diff(tp=20,n=20,sl=12,duration=180,size=100)"
