Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
2019-07-15,2024-07-15,0.2640900268554687,100.3887695640213,0.8135247443670063,1.247004597908688,0.9560541390032408,-0.055231409805756,294 days,58,60.3448275862069,17.821312754016972,-12.80617840136501,3.3053427609898822,70 days,26 days,2.1864026520708326,3.806257383159502,2.585163600408676,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
2019-07-15,2024-07-15,0.4717300262451172,100.3887695640213,1.018527563604417,1.6067114841499244,0.986710972707933,-0.0955125849291138,237 days 00:00:00,58,75.86206896551724,22.47466921526393,-14.47400187343414,5.763244814139323,106 days 00:00:00,37 days 00:00:00,3.447216652175812,6.351689663081007,4.232520928577753,"EMA_diff(tp=10,n=10,sl=12,duration=180,size=100)"
2019-07-15,2024-07-15,0.1934100646972656,100.3887695640213,0.3757649366248377,0.5351181753483074,0.2645910982555239,-0.1461985248319197,1136 days 00:00:00,92,53.2608695652174,17.02157746342181,-9.980486245390786,1.5186080705161364,83 days 00:00:00,26 days 00:00:00,1.5242966563705798,1.9897296231054544,1.4969192103755762,"EMA_diff(tp=10,n=20,sl=7,duration=180,size=100)"
2019-07-15,2024-07-15,0.8366200103759766,100.3887695640213,1.0531286274608254,1.662446415640831,0.9832390057916116,-0.1697445070046432,161 days 00:00:00,92,82.6086956521739,24.55870983919377,-14.47400187343414,6.642893757778068,106 days 00:00:00,42 days 00:00:00,4.345979227549451,7.166056129861978,6.113757593565153,"EMA_diff(tp=10,n=20,sl=12,duration=180,size=100)"
2019-07-15,2024-07-15,0.2533500595092773,100.3887695640213,0.3821062336679571,0.5398212972562032,0.1854186058930573,-0.2732139866423289,1176 days 00:00:00,123,53.65853658536586,18.209994762416272,-12.95893723015904,1.7514726915145884,92 days 00:00:00,26 days 00:00:00,1.6075509350090498,2.216648829508338,1.7145923949621853,"EMA_diff(tp=10,n=30,sl=7,duration=180,size=100)"
2019-07-15,2024-07-15,1.1403999786376953,100.3887695640213,1.091546803157382,1.734558419818923,1.2333768076433853,-0.1842317698861117,161 days 00:00:00,123,81.30081300813008,22.827132812077487,-16.17235941976186,6.891754907362446,106 days 00:00:00,44 days 00:00:00,4.643929422562481,7.384117694479538,7.294503073489055,"EMA_diff(tp=10,n=30,sl=12,duration=180,size=100)"
2019-07-15,2024-07-15,0.4560599517822265,100.3887695640213,0.7969502678490834,1.204456375526877,0.7149306876239292,-0.1274506778787376,386 days 00:00:00,58,55.172413793103445,27.187816019590727,-14.424307781264412,5.499192237319561,147 days 00:00:00,58 days 00:00:00,2.757034774727579,6.452031731918292,3.273485788184533,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
2019-07-15,2024-07-15,0.5121599502563476,100.3887695640213,0.5727438447223026,0.8385984729505362,0.3762977127901614,-0.2718698998708468,458 days 00:00:00,58,63.793103448275865,29.341580739533413,-22.141215197315432,5.844995144349041,183 days 00:00:00,81 days 00:00:00,2.4826872091093617,7.1707189471101245,3.1042432517114813,"EMA_diff(tp=20,n=10,sl=12,duration=180,size=100)"
2019-07-15,2024-07-15,0.371660041809082,100.3887695640213,0.4029335960790301,0.5822538417213133,0.2602361022581336,-0.2854358921711819,851 days 00:00:00,92,47.82608695652174,33.45192025934702,-14.257836675530411,3.030166493708397,166 days 00:00:00,53 days 00:00:00,1.9202443990195333,3.914059951713537,2.2102042159042607,"EMA_diff(tp=20,n=20,sl=7,duration=180,size=100)"
2019-07-15,2024-07-15,0.7832699890136718,100.3887695640213,0.5289118787703568,0.7758719762862022,0.3184228483287331,-0.4908241332210794,717 days 00:00:00,92,68.47826086956522,33.45192025934702,-18.91307482438056,6.27979253949178,177 days 00:00:00,90 days 00:00:00,2.863776579357688,7.411518660480652,4.094262520865909,"EMA_diff(tp=20,n=20,sl=12,duration=180,size=100)"
