Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
2019-08-19,2024-08-16,-0.2919600219726562,66.36635509340941,0.0,0.0,0.0,-0.4559985745434702,997 days 00:00:00,52,38.46153846153847,22.279504853807985,-26.24252651171939,-1.8799089359214367,104 days 00:00:00,28 days 00:00:00,0.7704813338908127,-1.2954171463113453,-1.205812998138085,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,0.0257398986816406,66.36635509340941,0.0251215845198805,0.0355220150227494,0.0131327245820789,-0.3925791262428313,493 days 00:00:00,52,51.92307692307693,22.849881754598368,-26.24252651171939,-0.275742929054168,109 days 00:00:00,44 days 00:00:00,1.1100667336422203,0.5951174168600809,0.0879674000298116,"EMA_diff(tp=10,n=10,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.6536597595214844,66.36635509340941,0.0,0.0,0.0,-1.096257058841421,987 days 00:00:00,78,38.46153846153847,22.165001962181098,-29.319919123410752,-2.1420642048216254,83 days 00:00:00,27 days 00:00:00,0.7559987197836833,-1.4658809076724064,-1.8934386586821188,"EMA_diff(tp=10,n=20,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.4118599243164062,66.36635509340941,0.0,0.0,0.0,-0.9710793011669994,1004 days 00:00:00,78,51.28205128205128,22.849881754598368,-30.029874115156066,-1.5063445884469062,92 days 00:00:00,40 days 00:00:00,0.9245446572573194,-0.4949138365047423,-0.9602723416069052,"EMA_diff(tp=10,n=20,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.6749196319580079,66.36635509340941,0.0,0.0,0.0,-1.0897397958822277,1284 days 00:00:00,101,35.64356435643564,22.165001962181098,-29.96619671631858,-1.581299590478935,83 days 00:00:00,29 days 00:00:00,0.8193476637432286,-1.0019845329552717,-1.926527516228663,"EMA_diff(tp=10,n=30,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.6354597473144531,66.36635509340941,0.0,0.0,0.0,-1.6783563131060442,1004 days 00:00:00,101,47.52475247524752,24.5825977903752,-30.029874115156066,-1.6339484772307178,113 days 00:00:00,45 days 00:00:00,0.8967305797814002,-0.6789514285515029,-1.356143632505837,"EMA_diff(tp=10,n=30,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.1928599548339843,66.36635509340941,0.0,0.0,0.0,-0.572239378518169,1004 days 00:00:00,52,32.69230769230769,29.26750427794269,-26.24252651171939,-1.1269412251846522,104 days 00:00:00,39 days 00:00:00,0.9615233060932458,-0.2313234986481383,-0.6515554493257953,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.3632000427246094,66.36635509340941,0.0,0.0,0.0,-0.7833798598272157,1004 days 00:00:00,52,38.46153846153847,32.28980800442105,-26.24252651171939,-2.191269909661997,176 days 00:00:00,77 days 00:00:00,0.8586928513691012,-1.0228674087496343,-1.0850676991421295,"EMA_diff(tp=20,n=10,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.4803196563720703,66.36635509340941,0.0,0.0,0.0,-1.311763671169064,1004 days 00:00:00,78,37.17948717948718,31.9247213068363,-30.029874115156066,-1.2894079771493816,104 days 00:00:00,41 days 00:00:00,0.9830214466695452,-0.1146351799938639,-1.0780789564494753,"EMA_diff(tp=20,n=20,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-1.0093397979736327,66.36635509340941,0.0,0.0,0.0,-1.983484272737135,1004 days 00:00:00,78,38.46153846153847,32.16593143518418,-30.029874115156066,-3.2042007718889653,176 days 00:00:00,67 days 00:00:00,0.8114746131378112,-1.6502021330959356,-1.9387452236143496,"EMA_diff(tp=20,n=20,sl=12,duration=180,size=100)"
