Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
2019-08-19,2024-08-16,0.067739990234375,15.462807436221471,0.1092179632348314,0.1432466001692054,0.0619235826926909,-0.2190742614987417,1263 days 00:00:00,48,50.0,17.769092440350054,-19.55119795468464,0.3560012835504222,128 days 00:00:00,29 days 00:00:00,1.197585191387002,0.873656485991138,0.3487238492750706,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,0.0715799102783203,15.462807436221471,0.075370936283116,0.1008156460870459,0.0417218843426053,-0.3435760421647282,1263 days 00:00:00,48,60.41666666666666,24.938234994145446,-20.6495919710197,0.3360190445697686,148 days 00:00:00,46 days 00:00:00,1.2212772706053148,1.04829719030997,0.3217089921709953,"EMA_diff(tp=10,n=10,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.4575201873779297,15.462807436221471,0.0,0.0,0.0,-0.80225049659991,1285 days 00:00:00,83,37.34939759036144,16.087467824988245,-16.793715208230743,-1.7703586885627345,129 days 00:00:00,34 days 00:00:00,0.7588634417822191,-1.3036491395701413,-1.7926401065842366,"EMA_diff(tp=10,n=20,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.6359602355957031,15.462807436221471,0.0,0.0,0.0,-1.1394711960254211,1285 days 00:00:00,83,46.98795180722892,22.31927038300132,-23.107898909051137,-2.6689384549664186,152 days 00:00:00,54 days 00:00:00,0.7211145570298978,-1.8743290219622573,-1.917821348403828,"EMA_diff(tp=10,n=20,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.47660009765625,15.462807436221471,0.0,0.0,0.0,-1.0840624924559394,1669 days 00:00:00,107,38.31775700934579,16.087467824988245,-21.02464800500161,-1.5287493232946536,133 days 00:00:00,39 days 00:00:00,0.7956920551649802,-1.064521658714263,-1.6830688077664795,"EMA_diff(tp=10,n=30,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.6010401763916016,15.462807436221471,0.0,0.0,0.0,-1.3129875714169126,1669 days 00:00:00,107,50.467289719626166,21.396145750341343,-23.864932031655595,-2.220982280103856,170 days 00:00:00,59 days 00:00:00,0.7963778129576,-1.3806754247472557,-1.5824918145215243,"EMA_diff(tp=10,n=30,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.0172399139404296,15.462807436221471,0.0,0.0,0.0,-0.539780335757567,1263 days 00:00:00,48,33.33333333333333,26.024919437947737,-19.55119795468464,-0.6121934482386737,149 days 00:00:00,52 days 00:00:00,1.0506580024578218,0.3066625249471602,-0.0662853210615385,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.1041799774169921,15.462807436221471,0.0,0.0,0.0,-0.8111631438007083,1263 days 00:00:00,48,43.75,32.38402556004212,-22.930568427265182,-1.566462102232069,180 days 00:00:00,79 days 00:00:00,1.0038076714741553,0.0324842521052889,-0.3116706300630432,"EMA_diff(tp=20,n=10,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.6542401275634766,15.462807436221471,0.0,0.0,0.0,-1.1578209076539947,1285 days 00:00:00,83,24.09638554216868,29.60898173107498,-21.02464800500161,-2.8485503929830847,151 days 00:00:00,54 days 00:00:00,0.6848621036497743,-2.101322160474762,-2.041089901143,"EMA_diff(tp=20,n=20,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.7035401153564453,15.462807436221471,0.0,0.0,0.0,-1.5954986126041293,1285 days 00:00:00,83,36.14457831325301,27.12669067214872,-25.335142098082287,-3.543831792890595,181 days 00:00:00,81 days 00:00:00,0.7602505440244128,-2.1461741108030545,-1.631101935699841,"EMA_diff(tp=20,n=20,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.2648600006103516,15.462807436221471,0.0,0.0,0.0,-1.3500403705434372,1285 days 00:00:00,107,31.77570093457944,28.45446991990046,-21.02464800500161,-0.8415121200023079,159 days 00:00:00,59 days 00:00:00,1.0093934883563556,0.0561586450244378,-0.6779732849332442,"EMA_diff(tp=20,n=30,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.1050400390624999,15.462807436221471,0.0,0.0,0.0,-1.6257584563413086,1285 days 00:00:00,107,41.1214953271028,33.40836787562726,-25.335142098082287,-0.7751442152482024,182 days 00:00:00,84 days 00:00:00,1.0867672740741934,0.6721179944514654,-0.2105760247509502,"EMA_diff(tp=20,n=30,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,0.21710009765625,15.462807436221471,0.2284916750483067,0.3076002383179447,0.084029360352695,-0.5170972119712847,1263 days 00:00:00,48,33.33333333333333,40.34577131462625,-19.55119795468464,0.9037916717223204,181 days 00:00:00,62 days 00:00:00,1.3791128674239093,2.3004331231501416,0.6691000001792409,"EMA_diff(tp=30,n=10,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,0.1662200317382812,15.462807436221471,0.1121145728250521,0.1450500277269539,0.0393330878452812,-0.8459735237999144,1263 days 00:00:00,48,43.75,40.34577131462625,-22.930568427265182,0.30464375352941,181 days 00:00:00,91 days 00:00:00,1.2950257561127816,2.461915114593795,0.4301249648301812,"EMA_diff(tp=30,n=10,sl=12,duration=180,size=100)"
2019-08-19,2024-08-16,-0.6053000793457031,15.462807436221471,0.0,0.0,0.0,-1.3160663234405343,1285 days 00:00:00,83,24.09638554216868,41.62695006526658,-21.02464800500161,-2.633633054971529,181 days 00:00:00,64 days 00:00:00,0.7694828863017253,-1.5936426732875204,-1.6185723477147635,"EMA_diff(tp=30,n=20,sl=7,duration=180,size=100)"
2019-08-19,2024-08-16,-0.6759201049804687,15.462807436221471,0.0,0.0,0.0,-1.879960363259359,1285 days 00:00:00,83,31.32530120481928,41.62695006526658,-25.335142098082287,-3.285306451199399,181 days 00:00:00,96 days 00:00:00,0.8096800772375862,-1.6764361826628231,-1.5169218640927726,"EMA_diff(tp=30,n=20,sl=12,duration=180,size=100)"
