Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign
3M,MMM,2024-08-16,127.1,128.6,128.6,5.5,-0.1,2.6,1.8,-2.9,69.9,36.4,71.0,70.2,148.2,53.9,0,0,0,0,0,0
A.O. スミス,AOS,2024-08-16,79.7,92.4,92.4,-1.0,-0.1,-0.8,-1.1,-3.0,43.5,40.0,40.2,42.6,87.1,61.2,0,0,0,0,0,0
アボット ラボラトリーズ,ABT,2024-08-16,111.0,112.3,121.6,1.3,0.0,0.6,1.5,-2.3,58.3,40.0,62.3,58.3,148.6,63.3,0,0,0,0,0,0
アッヴィ,ABBV,2024-08-16,193.9,195.0,195.0,5.1,0.1,2.5,1.8,-2.2,66.1,39.9,70.5,66.8,244.1,65.7,0,0,0,0,0,0
アクセンチュア,ACN,2024-08-16,326.9,338.9,387.5,2.6,-0.1,3.3,1.7,-3.1,57.2,39.2,60.1,55.3,178.2,63.0,0,0,0,0,0,0
アーチャー ダニエルズ ミッドランド,ADM,2024-08-16,59.1,66.1,87.3,-1.0,-0.0,0.1,0.1,-2.7,43.9,39.3,41.1,39.1,59.5,59.5,0,0,0,0,0,0
アドビ,ADBE,2024-08-16,553.5,580.5,638.2,-0.5,0.5,5.8,2.5,-3.6,56.2,39.6,58.3,51.5,109.4,60.2,0,0,0,0,0,0
アドバンス オート パーツ,AAP,2024-08-16,62.2,64.9,139.2,-0.6,0.1,-0.8,2.3,-4.1,49.3,36.2,53.6,47.6,125.9,56.9,0,0,0,0,0,0
アドバンスト マイクロ デバイシズ,AMD,2024-08-16,148.6,187.3,227.3,-6.3,0.6,-4.1,5.1,-5.2,48.6,41.5,52.9,42.4,51.3,64.1,0,0,0,0,0,1
AES,AES,2024-08-16,17.3,19.1,25.7,-0.4,0.0,-0.3,1.5,-4.0,46.7,38.4,49.2,43.7,157.7,56.0,0,0,0,0,0,0
アフラック,AFL,2024-08-16,104.8,104.9,104.9,2.6,0.1,1.4,3.4,-2.1,73.4,43.5,77.5,71.3,225.0,69.2,0,0,0,0,0,0
アジレント テクノロジーズ,A,2024-08-16,140.0,144.2,155.4,1.1,0.0,-0.1,1.7,-3.1,54.7,40.2,58.1,54.4,149.9,68.1,0,0,0,0,0,0
エアープロダクツ アンド ケミカルズ,APD,2024-08-16,276.0,296.0,307.7,3.7,-0.0,2.5,0.3,-2.7,55.4,40.2,55.8,56.1,97.8,60.4,0,0,0,0,0,0
アカマイ　テクノロジーズ,AKAM,2024-08-16,100.5,102.7,129.2,1.1,0.1,1.3,2.0,-2.9,57.4,37.6,60.4,57.1,113.0,59.8,0,0,0,0,0,0
アラスカ　エア　グループ,ALK,2024-08-16,34.8,40.7,57.2,-1.2,0.0,-0.8,-0.9,-4.3,41.1,37.1,40.9,39.4,78.8,54.6,0,0,0,0,0,0
アルベマール,ALB,2024-08-16,79.4,101.7,263.2,-5.2,-0.1,-2.0,-1.0,-5.5,38.0,38.8,38.6,33.6,65.2,54.9,0,0,0,0,0,0
ARE,ARE,2024-08-16,114.7,130.1,146.5,-1.5,-0.0,-0.7,0.3,-3.1,46.6,38.2,46.4,44.3,81.3,55.5,0,0,0,0,0,0
アライン　テクノロジー,ALGN,2024-08-16,240.4,263.2,413.2,-7.4,0.8,-3.6,7.0,-5.5,50.8,36.9,58.2,42.8,98.6,52.6,0,0,0,0,0,0
アレジオン,ALLE,2024-08-16,131.3,142.0,142.0,2.1,-0.1,0.9,0.5,-2.8,56.1,40.4,56.3,57.4,131.7,62.1,0,0,0,0,0,0
アライアント エナジー,LNT,2024-08-16,57.4,58.7,58.7,1.0,-0.0,0.7,1.7,-2.2,65.8,41.6,68.6,64.6,197.7,60.6,0,0,0,0,0,0
オールステート,ALL,2024-08-16,179.6,184.3,184.3,2.2,0.1,0.2,2.6,-2.3,59.7,41.9,62.7,58.0,165.6,65.7,0,0,0,0,0,0
アルファベット A,GOOGL,2024-08-16,163.0,191.8,191.8,-4.5,0.0,-2.9,-0.1,-3.2,42.7,42.0,40.6,37.5,65.0,65.2,0,0,0,0,0,1
アルファベット C,GOOG,2024-08-16,164.7,193.3,193.3,-4.4,0.0,-2.9,-0.1,-3.2,42.8,42.2,40.6,37.5,71.2,64.3,0,0,0,0,0,0
アルトリア グループ,MO,2024-08-16,51.3,51.4,51.4,0.9,-0.0,0.6,1.4,-2.4,63.8,38.9,64.1,63.9,172.5,58.8,0,0,0,0,0,0
アマゾン ドットコム,AMZN,2024-08-16,177.1,201.2,201.2,-5.0,0.2,-3.3,2.7,-3.3,47.7,41.4,50.0,40.8,61.0,64.6,0,0,0,0,0,1
アムコア,AMCR,2024-08-16,10.4,10.9,11.4,0.2,0.0,0.1,-1.1,-2.3,54.5,41.1,52.4,60.7,126.9,66.7,0,0,0,0,0,0
アメレン,AEE,2024-08-16,82.1,84.4,91.2,2.0,-0.0,1.3,1.6,-2.3,67.3,41.3,71.8,68.9,200.4,64.0,0,0,0,0,0,0
アメリカン エアラインズ グループ,AAL,2024-08-16,10.1,11.2,19.1,-0.4,0.0,-0.2,1.6,-5.4,42.6,37.5,46.6,39.8,68.0,56.9,0,0,0,0,0,0
アメリカン エレクトリック パワー,AEP,2024-08-16,96.9,104.4,104.4,1.9,-0.1,0.8,-0.5,-2.4,57.9,40.2,54.7,62.3,143.1,62.7,0,0,0,0,0,0
アメリカン エキスプレス,AXP,2024-08-16,251.7,256.2,256.2,0.3,0.3,-1.0,3.8,-3.2,58.4,41.6,61.6,53.3,99.1,60.2,0,0,0,0,0,0
アメリカン インターナショナル グループ,AIG,2024-08-16,73.6,79.9,80.8,-0.9,0.0,-0.9,0.8,-3.1,47.3,41.5,47.9,44.7,115.3,66.5,0,0,0,0,0,0
AMT,AMT,2024-08-16,219.9,236.1,236.1,5.8,-0.4,3.6,-0.9,-3.2,57.4,38.6,54.0,62.1,97.9,56.9,0,0,0,0,0,0
アメリカン ウォーター ワークス,AWK,2024-08-16,141.0,149.0,153.4,2.2,-0.2,1.6,-0.9,-2.7,55.0,39.4,51.2,57.5,139.1,63.1,0,0,0,0,0,0
アメリプライズ ファイナンシャル,AMP,2024-08-16,431.4,449.9,449.9,-5.4,0.7,-4.2,3.8,-2.7,53.7,43.1,58.3,46.3,71.0,61.7,0,0,0,0,0,0
アメテック,AME,2024-08-16,162.7,177.4,186.3,-2.3,0.1,-1.7,0.6,-2.2,46.4,41.2,47.3,44.6,124.1,66.8,0,0,0,0,0,0
アムジェン,AMGN,2024-08-16,321.4,346.9,346.9,1.3,-0.4,1.1,-0.8,-2.4,50.8,39.2,46.9,51.9,93.8,56.4,0,0,0,0,0,0
アンフェノール,APH,2024-08-16,65.8,70.7,70.8,-1.0,0.2,-1.0,2.9,-2.5,52.7,42.8,55.8,48.3,101.3,67.4,0,0,0,0,0,0
アナログ デバイセズ,ADI,2024-08-16,223.2,244.1,244.1,-4.3,0.3,-2.1,2.7,-2.8,50.6,43.5,52.0,46.0,77.2,74.4,0,0,0,0,0,0
アンシス,ANSS,2024-08-16,325.5,333.3,364.3,-2.6,0.7,-1.5,2.9,-3.4,54.2,40.7,59.8,49.0,102.9,56.7,0,0,0,0,0,0
エーオン,AON,2024-08-16,332.0,333.9,347.4,8.0,-0.0,5.4,1.2,-2.4,66.6,40.8,71.0,69.0,162.8,64.0,0,0,0,0,0,0
エイピーエイ,APA,2024-08-16,29.2,33.4,46.2,-0.3,-0.0,0.1,0.7,-5.9,48.0,39.2,48.5,46.4,59.7,62.3,0,0,0,0,0,1
アップル,AAPL,2024-08-16,226.1,237.2,237.2,0.2,0.2,2.0,2.7,-2.8,59.1,42.6,60.7,52.9,166.1,60.9,0,0,0,0,0,0
アプライド マテリアルズ,AMAT,2024-08-16,207.9,255.9,255.9,-8.7,0.8,-5.7,3.8,-4.1,48.6,42.6,51.0,43.6,93.9,68.6,0,0,0,0,0,0
アプティブ,APTV,2024-08-16,68.9,80.9,120.3,-1.0,0.0,-0.4,0.8,-4.1,46.4,39.4,48.3,45.0,84.5,62.5,0,0,0,0,0,0
アリスタ ネットワークス,ANET,2024-08-16,353.9,376.5,376.5,-0.0,0.9,-1.1,3.4,-4.0,56.4,41.9,58.5,52.8,74.0,57.3,0,0,0,0,0,0
アーサー　Ｊ　ギャラガー,AJG,2024-08-16,285.1,290.3,290.3,4.6,-0.1,2.6,0.8,-1.9,62.8,45.0,63.2,62.8,126.9,69.9,0,0,0,0,0,0
アシュラント,AIZ,2024-08-16,187.3,187.6,189.5,2.4,0.4,0.8,3.9,-2.4,65.4,41.9,72.0,62.5,153.1,66.4,0,0,0,0,0,0
AT&T,T,2024-08-16,19.3,20.0,20.0,0.2,-0.0,0.1,0.1,-2.5,56.0,37.7,54.4,57.1,99.6,56.1,0,0,0,0,0,0
アトモス エナジー,ATO,2024-08-16,129.2,132.2,132.2,2.4,-0.1,1.4,0.7,-2.2,64.3,41.5,66.1,66.0,142.8,65.1,0,0,0,0,0,0
オートデスク,ADSK,2024-08-16,248.2,256.0,279.5,0.2,0.3,1.4,2.0,-3.8,55.6,40.9,57.4,52.7,89.2,59.0,1,0,0,0,0,0
オートマチック データ プロセシング,ADP,2024-08-16,264.1,269.5,269.5,4.5,0.0,1.9,1.0,-2.3,62.4,42.0,66.0,64.6,204.4,61.9,0,0,0,0,0,0
オートゾーン,AZO,2024-08-16,3212.9,3225.6,3256.4,59.6,0.8,22.0,1.9,-2.3,62.2,43.5,65.4,63.0,253.2,63.1,0,0,0,0,0,0
AVB,AVB,2024-08-16,215.2,218.8,218.8,1.9,0.1,1.1,1.7,-2.5,60.4,40.7,62.5,57.8,120.3,59.9,0,0,0,0,0,0
エイブリー デニソン,AVY,2024-08-16,213.0,233.5,233.5,-3.0,0.2,-2.7,1.3,-2.6,47.8,41.8,50.1,44.0,92.4,61.6,0,0,0,0,0,0
