Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,VR_Win Rate [%],VR_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,MAX52w_Win Rate [%],MAX52w_SQN,MAX30d_Win Rate [%],MAX30d_SQN,RSI_Win Rate [%],RSI_SQN
ニッスイ,1332,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
マルハニチロ,1333,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ショーボンドホールディングス,1414,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ミライト・ワン,1417,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＩＮＰＥＸ,1605,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
コムシスホールディングス,1721,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
大成建設,1801,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
大林組,1802,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
清水建設,1803,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
長谷工コーポレーション,1808,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
鹿島建設,1812,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
西松建設,1820,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
戸田建設,1860,2024-08-16,0,0,0,0,0,1,70.83333333,2.979177473,,,,,,,,
大東建託,1878,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
五洋建設,1893,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
住友林業,1911,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
きんでん,1944,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
エクシオグループ,1951,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
九電工,1959,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日揮ホールディングス,1963,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日清製粉グループ本社,2002,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本Ｍ＆Ａセンターホールディングス,2127,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
エス・エム・エス,2175,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
パーソルホールディングス,2181,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
森永製菓,2201,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
江崎グリコ,2206,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
山崎製パン,2212,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
寿スピリッツ,2222,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
カルビー,2229,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
森永乳業,2264,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ヤクルト本社,2267,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
明治ホールディングス,2269,2024-08-16,0,1,0,0,0,0,,,41.17647059,-0.4788463453,,,,,,
日本ハム,2282,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
綜合警備保障,2331,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
カカクコム,2371,2024-08-16,1,0,0,1,1,0,,,,,33.33333333,-1.340351889,21.73913043,-2.672150365,,
ディー・エヌ・エー,2432,2024-08-16,0,0,0,1,0,0,,,,,,,4.545454545,-6.464667844,,
博報堂ＤＹホールディングス,2433,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
サッポロホールディングス,2501,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
宝ホールディングス,2531,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
コカ・コーラ　ボトラーズジャパンホールディングス,2579,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
サントリー食品インターナショナル,2587,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
伊藤園,2593,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
不二製油グループ本社,2607,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ローソン,2651,2024-07-23,0,0,0,1,1,0,,,,,88.88888889,4.245643788,77.77777778,3.786438828,,
エービーシー・マート,2670,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
双日,2768,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
アルフレッサ　ホールディングス,2784,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
キッコーマン,2801,2024-08-16,0,0,0,0,0,1,51.72413793,1.994683476,,,,,,,,
キユーピー,2809,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ハウス食品グループ本社,2810,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
カゴメ,2811,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ニチレイ,2871,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
東洋水産,2875,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日清食品ホールディングス,2897,2024-08-16,0,0,0,0,0,1,68.18181818,2.1373094,,,,,,,,
ヒューリック,3003,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
神戸物産,3038,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＭｏｎｏｔａＲＯ,3064,2024-08-16,0,0,0,1,1,0,,,,,66.66666667,-0.03997979878,57.14285714,1.136268675,,
Ｊ．フロント　リテイリング,3086,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
マツキヨココカラ＆カンパニー,3088,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＺＯＺＯ,3092,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
三越伊勢丹ホールディングス,3099,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日清紡ホールディングス,3105,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ダイワボウホールディングス,3107,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
トヨタ紡織,3116,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
マクニカホールディングス,3132,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ウエルシアホールディングス,3141,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
すかいらーくホールディングス,3197,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
野村不動産ホールディングス,3231,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
