Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,RSI_Win Rate [%],RSI_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,VR_Win Rate [%],VR_SQN,MACD_Win Rate [%],MACD_SQN,MAX30d_Win Rate [%],MAX30d_SQN,MAX52w_Win Rate [%],MAX52w_SQN,BB2_Win Rate [%],BB2_SQN,stochastic_Win Rate [%],stochastic_SQN,tsumitate_Win Rate [%],tsumitate_SQN
3M,MMM,2024-08-16,0,0,0,0,0,0,66.66666666666666,0.838139428720002,43.01075268817204,0.4627116531299066,29.268292682926827,-0.064733091856893,,,,,,,,,,,,
A.O. スミス,AOS,2024-08-16,0,0,0,0,0,0,28.57142857142857,0.7468615043947205,53.76344086021505,3.3376794980249294,65.9090909090909,2.213963756959432,,,,,,,,,,,,
アボット ラボラトリーズ,ABT,2024-08-16,0,0,0,0,0,0,100.0,6.865056376188521,65.8119658119658,1.962856889746292,71.7948717948718,2.4684630778845924,,,,,,,,,,,,
アッヴィ,ABBV,2024-08-16,0,0,0,0,0,0,100.0,11.023038435752502,73.97260273972603,5.944459899600119,80.0,5.15583496313306,,,,,,,,,,,,
アクセンチュア,ACN,2024-08-16,0,0,0,0,0,0,82.05128205128204,3.4182459724604306,64.93506493506493,3.259938838891097,67.56756756756756,3.0164657996170643,,,,,,,,,,,,
アーチャー ダニエルズ ミッドランド,ADM,2024-08-16,0,0,0,0,0,0,46.15384615384615,-0.1371432322833147,51.72413793103448,1.2728512150039375,46.66666666666666,0.5837257663872331,,,,,,,,,,,,
アドビ,ADBE,2024-08-16,0,0,0,0,0,0,83.33333333333334,1.3929100732530588,57.42574257425742,1.7248286056287625,76.66666666666667,2.310893011776461,,,,,,,,,,,,
アドバンス オート パーツ,AAP,2024-08-16,0,0,0,0,0,0,57.14285714285714,0.8461016489015394,39.21568627450981,-1.2661342342862776,54.0,0.7435771070831385,,,,,,,,,,,,
アドバンスト マイクロ デバイシズ,AMD,2024-08-16,0,0,0,0,0,1,85.71428571428571,3.10606917275308,58.252427184466015,2.321773221751549,53.48837209302325,2.8048631507576105,,,,,,,,,,,,
AES,AES,2024-08-16,0,0,0,0,0,0,55.55555555555556,0.9228914010777892,35.483870967741936,-0.306137153386989,35.0,0.7063481781009215,,,,,,,,,,,,
アフラック,AFL,2024-08-16,0,0,0,0,0,0,84.21052631578947,4.930903277331172,81.60919540229885,8.317934020883031,92.10526315789474,8.892447860959411,,,,,,,,,,,,
アジレント テクノロジーズ,A,2024-08-16,0,0,0,0,0,0,46.42857142857143,0.7056544493512428,46.15384615384615,1.8524745445062645,41.30434782608695,1.248782461255385,,,,,,,,,,,,
エアープロダクツ アンド ケミカルズ,APD,2024-08-16,0,0,0,0,0,0,100.0,8.32366411555926,63.63636363636363,2.334415266598677,78.94736842105263,3.1338448140616992,,,,,,,,,,,,
アカマイ　テクノロジーズ,AKAM,2024-08-16,0,0,0,0,0,0,72.72727272727273,2.043414809342049,57.77777777777777,1.9806057667757824,68.42105263157895,3.137558101709407,,,,,,,,,,,,
