Name,Code,Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
トーエネック,1946,2019-07-10,2024-07-10,0.3,49.5,0.1,0.1,0.0,-3.0,988 days 00:00:00,8,50.0,14.1,-10.1,0.5,90 days 00:00:00,27 days 00:00:00,1.2,1.1,0.1,"RSI(tp=10,n=10,sl=7,duration=180,size=100)"
トーエネック,1946,2019-07-10,2024-07-10,0.2,49.5,0.0,0.0,0.0,-2.9,988 days 00:00:00,8,37.5,23.2,-10.1,0.3,182 days 00:00:00,68 days 00:00:00,1.2,1.1,0.1,"RSI(tp=20,n=10,sl=7,duration=180,size=100)"
トーエネック,1946,2019-07-10,2024-07-10,0.5,49.5,0.1,0.1,0.0,-3.5,1503 days 00:00:00,8,37.5,32.1,-10.1,0.8,182 days 00:00:00,85 days 00:00:00,1.4,1.8,0.2,"RSI(tp=30,n=10,sl=7,duration=180,size=100)"
トーエネック,1946,2019-07-12,2024-07-12,20.3,51.0,0.6,1.1,0.6,-6.6,540 days 00:00:00,58,67.2,18.7,-11.2,4.3,181 days 00:00:00,67 days 00:00:00,3.0,4.7,3.9,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
トーエネック,1946,2019-07-12,2024-07-12,22.2,51.0,0.5,0.7,0.4,-10.5,858 days 00:00:00,58,51.7,24.8,-11.2,4.9,185 days 00:00:00,114 days 00:00:00,3.1,5.6,3.3,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
トーエネック,1946,2019-07-12,2024-07-12,16.2,51.0,0.3,0.4,0.2,-12.8,893 days 00:00:00,58,50.0,34.5,-11.2,3.8,185 days 00:00:00,133 days 00:00:00,2.6,4.5,2.3,"EMA_diff(tp=30,n=10,sl=7,duration=180,size=100)"
太平電業,1968,2019-07-12,2024-07-12,24.5,132.7,1.2,2.3,2.0,-2.4,232 days,56,78.6,19.1,-11.8,7.2,181 days,64 days,6.1,7.5,6.3,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
太平電業,1968,2019-07-12,2024-07-12,25.3,132.7,0.7,1.2,0.5,-8.7,344 days 00:00:00,56,66.1,26.0,-11.8,7.3,181 days 00:00:00,108 days 00:00:00,5.1,7.9,4.6,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
太平電業,1968,2019-07-12,2024-07-12,34.1,132.7,0.8,1.3,0.6,-9.7,449 days 00:00:00,56,69.6,36.4,-11.8,9.1,182 days 00:00:00,131 days 00:00:00,6.3,10.0,4.7,"EMA_diff(tp=30,n=10,sl=7,duration=180,size=100)"
日比谷総合設備,1982,2019-07-12,2024-07-12,10.9,68.1,0.7,1.0,0.6,-3.9,625 days,61,75.4,15.4,-9.9,4.2,182 days,96 days,3.7,4.4,4.7,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
日比谷総合設備,1982,2019-07-12,2024-07-12,12.0,68.1,0.5,0.7,0.3,-7.4,1460 days 00:00:00,61,65.6,25.0,-11.5,3.7,183 days 00:00:00,140 days 00:00:00,3.1,4.2,3.3,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
日比谷総合設備,1982,2019-07-12,2024-07-12,16.6,68.1,0.6,0.9,0.4,-7.4,1460 days 00:00:00,61,65.6,35.1,-11.5,5.0,183 days 00:00:00,145 days 00:00:00,3.8,5.7,3.4,"EMA_diff(tp=30,n=10,sl=7,duration=180,size=100)"
ライフドリンク　カンパニー,2585,2021-12-21,2024-07-12,7.3,423.2,1.3,2.7,1.6,-1.8,203 days,20,70.0,21.2,-9.3,7.2,39 days,17 days,4.7,7.7,2.5,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
ライフドリンク　カンパニー,2585,2021-12-21,2024-07-12,13.2,423.2,1.6,3.7,2.9,-1.8,183 days 00:00:00,20,65.0,29.8,-9.3,11.5,81 days 00:00:00,27 days 00:00:00,6.0,12.6,2.9,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
ライフドリンク　カンパニー,2585,2021-12-21,2024-07-12,16.9,423.2,1.4,2.9,2.0,-3.3,183 days 00:00:00,20,60.0,37.5,-12.2,14.8,116 days 00:00:00,46 days 00:00:00,6.7,16.5,3.0,"EMA_diff(tp=30,n=10,sl=7,duration=180,size=100)"
