Name,Code,Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
武田薬品工業,4502,2019-06-21,2024-06-21,1.4,6.6,0.1,0.1,0.0,-9.6,1596 days,46,45.7,21.9,-11.7,0.3,175 days,51 days,1.2,0.8,0.3,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,4.6,6.6,0.2,0.3,0.1,-12.8,1097 days 00:00:00,74,48.6,21.9,-12.9,0.8,162 days 00:00:00,65 days 00:00:00,1.3,1.2,0.7,"EMA_diff(tp=10,n=20,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,2.0,6.6,0.1,0.1,0.0,-12.4,1036 days 00:00:00,85,44.7,18.0,-12.9,0.3,174 days 00:00:00,73 days 00:00:00,1.2,0.7,0.3,"EMA_diff(tp=10,n=30,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,3.1,6.6,0.2,0.2,0.1,-8.7,1596 days 00:00:00,46,41.3,28.1,-11.7,0.9,182 days 00:00:00,81 days 00:00:00,1.3,1.6,0.5,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,6.0,6.6,0.2,0.2,0.1,-15.9,1110 days 00:00:00,74,44.6,29.2,-12.9,1.0,183 days 00:00:00,107 days 00:00:00,1.4,1.7,0.8,"EMA_diff(tp=20,n=20,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,0.2,6.6,0.0,0.0,0.0,-17.4,1097 days 00:00:00,85,41.2,24.2,-13.3,0.0,182 days 00:00:00,113 days 00:00:00,1.1,0.5,0.0,"EMA_diff(tp=20,n=30,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,1.4,6.6,0.1,0.1,0.0,-11.5,1676 days 00:00:00,46,39.1,30.0,-17.1,0.4,182 days 00:00:00,97 days 00:00:00,1.2,1.1,0.2,"EMA_diff(tp=30,n=10,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,1.8,6.6,0.0,0.1,0.0,-20.0,1596 days 00:00:00,74,44.6,30.0,-20.5,0.3,183 days 00:00:00,116 days 00:00:00,1.2,1.0,0.2,"EMA_diff(tp=30,n=20,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,-3.9,6.6,0.0,0.0,0.0,-21.3,1161 days 00:00:00,84,41.7,30.1,-21.5,-0.6,182 days 00:00:00,118 days 00:00:00,1.0,-0.1,-0.5,"EMA_diff(tp=30,n=30,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,-2.7,6.6,0.0,0.0,0.0,-5.3,1017 days 00:00:00,25,36.0,14.6,-11.7,-1.5,183 days 00:00:00,58 days 00:00:00,0.8,-1.0,-0.8,"VR(tp=10,n=10,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,0.4,6.6,0.0,0.0,0.0,-7.6,1499 days 00:00:00,35,42.9,12.0,-10.6,-0.1,168 days 00:00:00,45 days 00:00:00,1.1,0.3,0.1,"VR(tp=10,n=20,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,2.8,6.6,0.2,0.2,0.1,-7.7,1041 days 00:00:00,45,46.7,14.5,-11.2,0.7,169 days 00:00:00,68 days 00:00:00,1.3,1.1,0.6,"VR(tp=10,n=30,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,-3.4,6.6,0.0,0.0,0.0,-8.6,1187 days 00:00:00,25,24.0,22.0,-11.7,-1.8,183 days 00:00:00,93 days 00:00:00,0.8,-1.3,-0.9,"VR(tp=20,n=10,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,-4.9,6.6,0.0,0.0,0.0,-10.3,1498 days 00:00:00,35,25.7,20.8,-10.6,-1.8,182 days 00:00:00,89 days 00:00:00,0.8,-1.3,-1.1,"VR(tp=20,n=20,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,3.1,6.6,0.1,0.2,0.1,-8.0,1021 days 00:00:00,45,42.2,20.5,-11.2,0.8,185 days 00:00:00,111 days 00:00:00,1.3,1.4,0.6,"VR(tp=20,n=30,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,-3.1,6.6,0.0,0.0,0.0,-8.6,1187 days 00:00:00,25,24.0,31.6,-11.7,-1.7,183 days 00:00:00,99 days 00:00:00,0.8,-1.1,-0.8,"VR(tp=30,n=10,sl=7,duration=180,size=100)"
武田薬品工業,4502,2019-06-21,2024-06-21,-5.4,6.6,0.0,0.0,0.0,-10.3,1499 days 00:00:00,35,25.7,23.5,-10.6,-2.0,182 days 00:00:00,96 days 00:00:00,0.7,-1.5,-1.3,"VR(tp=30,n=20,sl=7,duration=180,size=100)"
