Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign
極洋,1301,2024-07-17,4075.0,4175.0,4175.0,61.1,-3.2,42.5,0.7,-1.6,60.6,43.2,60.7,61.3,173.4,55.5,0,0,0,0,0,0
ニッスイ,1332,2024-07-17,876.4,894.7,1002.5,-8.5,1.1,-14.5,2.0,-2.4,50.1,41.3,56.9,44.6,133.8,61.2,0,0,0,0,0,0
マルハニチロ,1333,2024-07-17,3228.0,3288.0,3367.0,0.1,1.6,-10.9,1.5,-2.2,55.2,42.4,58.0,51.4,83.4,61.3,0,0,0,0,0,0
雪国まいたけ,1375,2024-07-17,1013.0,1029.0,1173.0,7.8,-0.2,1.2,-0.1,-2.8,54.5,35.5,55.3,59.0,153.1,41.1,0,0,0,0,0,0
サカタのタネ,1377,2024-07-17,3530.0,3545.0,4495.0,7.1,2.8,15.4,1.3,-2.3,55.3,39.6,63.2,55.8,132.1,54.3,0,0,0,0,0,0
ホクト,1379,2024-07-17,1860.0,1914.0,1940.0,-0.3,-0.7,1.8,0.6,-1.2,52.0,40.9,52.4,48.7,133.7,58.4,0,0,0,0,0,0
ショーボンドホールディングス,1414,2024-07-17,5718.0,5911.0,6929.0,-62.3,3.8,-45.4,0.3,-1.9,43.3,41.3,46.0,40.2,103.9,56.7,0,0,0,0,0,0
ミライト・ワン,1417,2024-07-17,2099.5,2134.5,2134.5,33.1,-1.4,19.4,0.3,-2.2,59.0,38.4,58.8,60.4,113.9,53.2,0,0,0,0,0,0
タマホーム,1419,2024-07-17,4550.0,4520.0,4645.0,-14.4,21.5,-9.4,9.2,-3.6,64.1,42.0,74.8,53.1,301.1,60.8,0,0,0,1,0,0
日本アクア,1429,2024-07-17,900.0,963.0,1125.0,-1.5,-0.3,-4.3,-0.9,-3.0,46.5,42.5,45.1,48.1,83.7,60.8,0,0,0,0,0,0
ベステラ,1433,2024-07-17,998.0,1050.0,1341.0,4.2,-0.8,6.7,0.3,-3.5,51.8,39.8,51.8,51.3,63.9,51.3,0,0,0,0,0,0
日鉄鉱業,1515,2024-07-17,5030.0,5360.0,5860.0,-15.6,-2.5,-9.6,-0.4,-3.3,48.0,42.9,45.7,46.8,109.5,61.0,0,0,0,0,0,0
三井松島ホールディングス,1518,2024-07-17,5690.0,5790.0,6210.0,213.0,11.0,150.6,4.7,-3.6,65.6,40.0,67.7,63.7,126.7,56.0,0,0,0,0,0,0
ＩＮＰＥＸ,1605,2024-07-17,2459.5,2507.5,2628.0,21.2,1.1,-5.4,0.7,-3.3,55.0,41.6,56.5,55.4,144.4,58.5,0,0,0,0,0,0
石油資源開発,1662,2024-07-17,6440.0,6770.0,7440.0,-13.5,0.1,-75.8,-0.2,-3.3,48.4,43.2,48.0,48.5,94.6,63.1,0,0,0,0,0,0
Ｋ＆Ｏエナジーグループ,1663,2024-07-17,3620.0,4310.0,4310.0,-21.7,-0.4,-21.2,0.3,-2.6,51.1,43.5,49.2,48.5,95.8,60.5,0,0,0,0,0,0
安藤・間,1719,2024-07-17,1194.0,1215.0,1280.0,15.3,0.3,2.5,0.5,-2.6,60.1,41.5,67.3,65.4,230.5,59.6,0,0,0,0,0,0
東急建設,1720,2024-07-17,788.0,787.0,868.0,1.6,0.6,-2.6,1.0,-2.4,53.8,39.4,62.1,55.1,131.8,58.4,0,0,0,1,0,0
